+1	1:-0.544024	2:-0.458261
+1	1:-0.892931	2:-0.963940
+1	1:-2.278888	2:-1.872560
+1	1:-0.355123	2:-1.096970
-1	1:0.347032	2:1.154048
-1	1:2.284209	2:0.524890
+1	1:-1.926648	2:-0.920618
+1	1:-2.984479	2:-1.406045
-1	1:1.222968	2:0.931421
-1	1:0.528022	2:0.934573
+1	1:-0.736840	2:-1.852245
-1	1:1.842050	2:3.516584
-1	1:0.375282	2:1.664419
-1	1:1.572151	2:1.762214
-1	1:0.349250	2:3.645418
-1	1:-0.041471	2:0.947137
+1	1:-0.731039	2:-1.344617
-1	1:2.208830	2:0.961486
+1	1:-1.268483	2:-1.969264
+1	1:-1.142436	2:-1.119310
+1	1:-2.516135	2:-0.089446
-1	1:0.879946	2:1.460933
-1	1:1.853967	2:1.705799
+1	1:-2.997522	2:-1.524338
+1	1:-1.385480	2:-1.717623
+1	1:-1.087187	2:-1.127972
-1	1:3.073484	2:0.033099
+1	1:-0.932134	2:-1.201257
+1	1:-1.283544	2:-0.995348
-1	1:3.137729	2:2.742526
-1	1:2.503107	2:1.839685
-1	1:2.190152	2:2.125812
